"Gürtel","belt"
"Hemd","shirt"
"Hut","hat"
"Krawatte","tie"
"Mantel","coat"
"Mütze","cap"
"Rock","skirt"
"Schal","scarf"
"Schuhe","shoe"
"Milch","milk"
"Wein","wine"
"Badezimmer","bathroom"
"Esszimmer","dining room"
"Fenster","window"
"Flur","hall"
"Keller","cellar"
"Küche","kitchen"
"Schlafzimmer","bedroom"
"Tür","door"
"Wohnzimmer","living room"
"Zimmer","room"
"Frühling","spring"
"Sommer","summer"
"Herbst","autumn"
"Bild","picture"
"Bücherregal","bookcase"
"Fenstervorhang","curtain"
"Kamin","fireplace"
"Lampe","lamp"
"Regal","shelf"
"Stuhl","chair"
"Sofa","couch"
"Teppich","carpet"
"Tisch","table"
"Uhr","clock"
"Bett","bed"
"Bettdecke","blanket"
"Kleiderschrank","garderobe"
"Kopfkissen","pillow"
"Matratze","mattress"
"Schlafanzug","pyjama"
"Wecker","alarm clock"
"Gabel","fork"
"Geschirr","dishes"
"Herd","cooker"
"Kühlschrank","fridge"
"Löffel","spoon"
"Messer","knife"
"Ofen","stove"
"Pfanne","pan"
"Tasse","cup"
"Teller","plate"
"Badewanne","bathtub"
"Dusche","shower"
"Handtuch","towel"
"Seife","soap"
"Spiegel","mirror"
