"about","approximately"
"abstract","summary"
"to accomplish","to achieve"
"to administer","to manage"
"to admit","to confess"
"almost","nearly"
"to annoy","to bother"
"to answer","to reply"
"anyway","besides"
"apparent","obvious"
"applicable","relevant"
"to arrive","to reach"
"artful","crafty"
"away","absent"
"awful","terrible"
"ballot","poll"
"to beat","to defeat"
"to begin","to start"
"to behave","to act"
"belly","stomach"
"bendy","flexible"
"bizarre","weird"
"blameless","innocent"
"to categorize","to classify"
"to cite","to quote"
"clever","intelligent"
"to collapse","to break down"
"to collect","to gather"
"complete","total"
"to confuse","to mix up"
"constant","fixed"
"to consult","to refer"
"to cope","to manage"
"denims","jeans"
"deserted","abandoned"
"destiny","fate"
